disp_x,disp_y,id,strain_xx,strain_xy,strain_yy,stress_xx,stress_xy,stress_yy,x,y,z
0.00026396389741097,0.00019552626071513,8433,-6.3009303322227e-07,5.4807513175891e-07,1.1026361007537e-06,-4375318.3373687,625219.2300527,-4374656.6769195,-147.81149716474,-95,0
0.00063863679089383,0.00014680411189969,6626,6.7547467712117e-08,-2.1969733830717e-07,2.3553752657586e-07,-4374937.1045871,624912.12106468,-4374910.2219241,-147.57680245148,-144.24346911815,0
0.0014738390609934,-0.0048866495470516,6443,-1.6278180685355e-07,2.6531114712707e-07,4.0905528031519e-07,-4375072.140734,625106.12445885,-4374866.8624426,-147.55983064144,144.2264973081,0
0.0024940095506001,-0.0032351698684721,3497,6.4232794074381e-06,-1.5472178883005e-06,-4.3896692254135e-05,-4374410.6508669,624381.11284468,-4390185.5836035,-147.46607714211,44.934516394979,0
0.002458107785457,-0.0036284446482498,3184,5.7098900147425e-06,-2.371681923727e-06,-3.8958997692851e-05,-4374471.0317024,624051.32723051,-4388476.6993537,-147.44703602384,54.678137970881,0
0.0017457748741079,-0.0010791204783801,5002,4.8548908080712e-06,2.2479560382323e-06,-3.6634582814843e-05,-4374835.6414404,625899.18241529,-4387714.4665393,-147.42190346777,-5.2116581559681,0
0.00042940767394184,0.00016455897529678,7258,-5.1340778851409e-07,-2.7209682427979e-07,1.8414840818533e-06,-4375182.6903768,624891.16127029,-4374382.7982431,-147.39695132978,-124.8172130787,0
0.0014800510012813,-0.00075430391744007,3166,3.8447243119512e-06,2.5162777534157e-06,-3.0257506979566e-05,-4374971.1370897,626006.51110137,-4385514.6508443,-147.38989039948,-14.995719253826,0
0.0022336008041779,-0.0042893879674361,5469,3.4495195952066e-06,-2.6177400259789e-06,-2.6735401282566e-05,-4374940.6058425,623952.90398961,-4384286.4431585,-147.31924048682,75.329208097269,0
0.0019373539397596,-0.0046767190327919,3808,1.5839913001331e-06,-2.5021193021406e-06,-1.3631880011677e-05,-4375082.9413778,623999.15227914,-4379749.2036969,-147.28239359708,94.92680509121,0
0.00095825957000092,-0.0002601767657327,3177,1.8193117340489e-06,2.2891497064357e-06,-1.8447551227551e-05,-4375322.2064058,625915.65988257,-4381453.3031639,-147.26952142635,-35.092721026073,0
0.0022199427183779,-0.0019072100718813,3167,6.5443441895616e-06,1.2712695762655e-06,-4.5279984937693e-05,-4374444.7556155,625508.50783051,-4390670.7345193,-147.26020604516,15.167740169937,0
0.0023739104208544,-0.0023441335442689,3490,6.827403147571e-06,1.0072401701747e-07,-4.7022565312659e-05,-4374403.1821975,625040.28960681,-4391271.2782388,-147.23811814736,24.867752820151,0
0.00074352034561337,-9.7213503195694e-05,3493,1.3083767738275e-06,1.9228199750632e-06,-1.3291348174944e-05,-4375233.718841,625769.12799003,-4379649.7628994,-147.22623382463,-44.894364422932,0
0.00034623427204092,0.00018063806238505,4051,-6.3861723985999e-07,2.5457350235001e-08,2.0915408417594e-06,-4375243.4323349,625010.18294009,-4374303.5009848,-147.19721448963,-114.94929582257,0
0.00032894718007259,0.00016146641191954,3472,-9.8154490320717e-08,9.8501424701177e-07,-2.7669174653127e-06,-4375288.5846847,625394.0056988,-4375998.0950054,-147.18358166688,-74.915507377371,0
